hospital_id,hospital_name,total_claims,fraud_claims,avg_claim_amount,avg_claim_per_day,fraud_loss,fraud_rate
HOSP023,Hospital 23,16,0,47100.994999999995,16101.377024038462,0.0,0.0
HOSP024,Hospital 24,16,0,40222.62625,6188.016202256077,0.0,0.0
HOSP025,Hospital 25,22,1,43618.88,12374.652333972846,116904.99,4.545454545454546
HOSP026,Hospital 26,20,3,47013.989,13346.970695075757,125155.34,15.0
HOSP027,Hospital 27,24,3,44242.14666666667,17788.49290427281,191173.38,12.5
HOSP028,Hospital 28,30,2,44541.956,7655.757712076812,189133.91999999998,6.666666666666667
HOSP029,Hospital 29,24,1,35766.46,9538.190825896327,37736.46,4.166666666666667
HOSP030,Hospital 30,19,6,48618.43684210526,15306.908887667887,433413.75,31.57894736842105
HOSP031,Hospital 31,15,2,37145.52133333334,10136.9740001628,142315.5,13.333333333333334
HOSP032,Hospital 32,25,4,40632.7284,10162.930231868133,215823.72,16.0
HOSP033,Hospital 33,17,4,46967.85647058824,9903.731884257899,326434.67,23.529411764705884
HOSP034,Hospital 34,24,3,40747.92916666667,8952.777675022893,159882.2,12.5
HOSP035,Hospital 35,16,4,48766.84375,14272.917923344017,277538.42,25.0
HOSP036,Hospital 36,22,3,38764.00590909091,9334.562199209882,204050.80000000002,13.636363636363637
HOSP037,Hospital 37,19,1,44805.91263157895,9614.719267206478,15777.47,5.2631578947368425
HOSP038,Hospital 38,24,0,36425.86958333333,7684.381132453195,0.0,0.0
HOSP039,Hospital 39,23,7,56835.00826086956,8740.365480285414,586941.88,30.434782608695652
HOSP040,Hospital 40,23,5,49534.01173913044,8964.58290060664,514794.9,21.73913043478261
HOSP041,Hospital 41,19,2,37483.16789473684,10355.126065853736,146337.9,10.526315789473685
HOSP042,Hospital 42,15,0,40046.91866666667,8273.507898046397,0.0,0.0
HOSP043,Hospital 43,20,2,46381.4745,10291.498600824176,143186.6,10.0
HOSP044,Hospital 44,18,4,47124.30111111111,11437.615191578483,174648.2,22.22222222222222
HOSP045,Hospital 45,16,3,52910.3925,9348.314100160256,379285.88,18.75
HOSP046,Hospital 46,17,3,53345.159411764704,8537.799769661711,348345.01,17.647058823529413
HOSP047,Hospital 47,24,4,42074.97666666666,16379.286143586738,222194.75,16.666666666666668
HOSP048,Hospital 48,24,3,32444.315000000002,9990.00309976135,145370.55000000002,12.5
HOSP049,Hospital 49,27,3,47207.722962962966,11353.915589856646,207039.74,11.11111111111111
HOSP050,Hospital 50,21,1,31894.887142857144,14112.929658410372,12394.43,4.761904761904762
HOSP051,Hospital 51,16,1,39421.231875,8958.948808035713,16433.75,6.25
HOSP052,Hospital 52,17,2,42136.555882352935,9458.974397504455,153671.5,11.764705882352942
HOSP053,Hospital 53,26,2,43365.57461538461,9352.978351356976,89648.38,7.6923076923076925
HOSP054,Hospital 54,31,2,40435.89580645161,9007.734666918208,201713.44,6.451612903225806
HOSP055,Hospital 55,22,1,46872.75090909091,8684.20613400993,106936.45,4.545454545454546
HOSP056,Hospital 56,23,2,39358.147826086955,9226.06239244572,179991.15,8.695652173913043
HOSP057,Hospital 57,25,1,44785.7212,8826.214018441558,93726.94,4.0
HOSP058,Hospital 58,27,5,40391.47925925926,15126.903825737021,271338.10000000003,18.51851851851852
HOSP059,Hospital 59,36,3,50467.18916666667,12535.096094865781,218550.95,8.333333333333334
HOSP060,Hospital 60,20,1,33417.514500000005,6541.69089469697,11718.1,5.0
HOSP061,Hospital 61,24,3,45544.345,14668.249145833333,195332.93,12.5
HOSP062,Hospital 62,28,0,45411.70785714286,10266.927501943492,0.0,0.0
HOSP063,Hospital 63,18,1,43714.788888888885,9428.67140600449,90660.14,5.555555555555555
HOSP064,Hospital 64,20,2,39414.816999999995,10813.109735064934,113704.89,10.0
HOSP065,Hospital 65,23,2,48489.36608695652,11020.462379399585,175673.6,8.695652173913043
HOSP066,Hospital 66,20,1,43551.0095,10136.501080573593,121814.91,5.0
HOSP067,Hospital 67,25,3,46379.4808,8232.020017990899,141453.47,12.0
HOSP068,Hospital 68,22,3,48011.339545454546,6771.074174668765,310037.09,13.636363636363637
HOSP069,Hospital 69,22,4,33563.56363636364,9937.54035065692,82183.61,18.181818181818183
HOSP070,Hospital 70,12,3,42689.151666666665,19164.110190094627,168902.83000000002,25.0
HOSP071,Hospital 71,14,1,47255.250714285714,9799.071699288806,131659.52,7.142857142857143
HOSP072,Hospital 72,21,0,37300.55047619048,9416.779856162357,0.0,0.0
HOSP073,Hospital 73,22,4,42235.03909090909,14743.39249963925,206107.27000000002,18.181818181818183
HOSP074,Hospital 74,18,0,40596.21444444444,12886.996848702223,0.0,0.0
HOSP075,Hospital 75,21,0,44602.19714285714,8832.698436904366,0.0,0.0
HOSP076,Hospital 76,24,2,47021.19708333333,10768.452822261073,137897.9,8.333333333333334
HOSP077,Hospital 77,22,4,46167.586363636365,8222.988618936619,172735.86000000002,18.181818181818183
HOSP078,Hospital 78,21,5,49971.68761904762,12427.339404624476,427795.68,23.80952380952381
HOSP079,Hospital 79,21,2,52573.509523809524,10084.617611853755,201007.15000000002,9.523809523809524
HOSP080,Hospital 80,18,1,48614.877222222225,14568.44267670601,71537.35,5.555555555555555
HOSP081,Hospital 81,24,0,40915.527916666666,8701.342192104192,0.0,0.0
HOSP082,Hospital 82,22,5,54061.28090909091,17515.86808904984,462727.77999999997,22.727272727272727
HOSP083,Hospital 83,24,0,39518.619166666664,9382.815933449652,0.0,0.0
HOSP084,Hospital 84,25,1,39721.986000000004,11699.797967562437,47431.84,4.0
HOSP085,Hospital 85,19,3,43367.4047368421,11906.22145253723,182819.47,15.789473684210526
HOSP086,Hospital 86,23,3,53165.84347826087,16261.494246995757,250764.35,13.043478260869565
HOSP087,Hospital 87,30,3,43496.59133333333,8607.451784704184,268176.21,10.0
HOSP088,Hospital 88,18,2,42471.752222222225,7753.126448261614,202325.64,11.11111111111111
HOSP089,Hospital 89,21,3,44018.95857142857,11970.625201116343,279060.87,14.285714285714286
HOSP090,Hospital 90,22,2,44658.700454545455,12158.228645826397,181887.64,9.090909090909092
HOSP091,Hospital 91,17,4,52845.42294117647,10813.829437818717,250860.04,23.529411764705884
HOSP092,Hospital 92,16,0,44792.199375,10723.352603479854,0.0,0.0
HOSP093,Hospital 93,23,0,42463.206086956525,7213.0319318399,0.0,0.0
HOSP094,Hospital 94,25,4,47587.5764,10481.42813084249,278331.69,16.0
HOSP095,Hospital 95,25,7,49712.326799999995,11038.588985675437,465494.31,28.0
HOSP096,Hospital 96,29,5,49218.426206896555,12375.431463929748,413361.07,17.24137931034483
HOSP097,Hospital 97,17,1,39632.730588235296,9419.05754038282,57688.35,5.882352941176471
HOSP098,Hospital 98,20,4,53732.649,20707.311802579366,334067.87,20.0
HOSP099,Hospital 99,19,0,45220.69157894737,16125.650207260578,0.0,0.0
HOSP100,Hospital 100,18,0,45770.64166666667,7178.742684307977,0.0,0.0
